Pavadinimas,Rajonas,Gatve,Kaina,Visa_info,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Dainava, Partizanų g.",Dainava, Partizanų g.,50 500 ,"
                            2 rooms, 45,24 m², 1/5 floor, 1980 year, block house, central, fully equipped                        ", 45.24 ,2, 1980 , 1/5 ,/butai-kaune-dainavoje-partizanu-g-dainavoje-puikioje-vietoje-parduodamas-2-1-3034693/?return_url=%2Fbutai%2Fkaune%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, J. Žemgulio g.",Žaliakalnis, J. Žemgulio g.,298 000 ,"
                            4 rooms, 249,98 m², 1/3 floor, 1995 year, brick, gas, fully equipped                        ", 249.98 ,4, 1995 , 1/3 ,/butai-kaune-zaliakalnyje-j-zemgulio-g-parduodamas-jaukus-ir-pilnai-irengtas-butas-1-3014057/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Aleksotas, Šeštokų g.",Aleksotas, Šeštokų g.,139 900 ,"
                            4 rooms, 69,7 m², 2/4 floor, 2018 year, brick, gas, fully equipped                        ", 69.7 ,4, 2018 , 2/4 ,/butai-kaune-aleksote-sestoku-g-parduodamas-naujos-statybos-pilnai-irengtas-1-3031213/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, Savanorių pr.",Dainava, Savanorių pr.,66 000 ,"
                            4 rooms, 66,58 m², 1/5 floor, 1968 year, brick, central, fully equipped                        ", 66.58 ,4, 1968 , 1/5 ,/butai-kaune-dainavoje-savanoriu-pr-parduodamos-patalpos-kuriose-irengti-2-jaukus-1-3033669/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Senamiestis, Šv. Gertrūdos g.",Senamiestis, Šv. Gertrūdos g.,220 000 ,"
                            2 rooms, 55 m², 4/4 floor, 2018 year, brick, central thermostat, fully equipped                        ", 55 ,2, 2018 , 4/4 ,/butai-kaune-senamiestyje-sv-gertrudos-g-parduodamas-prabangus-modernus-isskirtinio-1-3035807/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Senamiestis, Šv. Gertrūdos g.",Senamiestis, Šv. Gertrūdos g.,220 000 ,"
                            2 rooms, 55 m², 2/4 floor, 2018 year, brick, central thermostat, fully equipped                        ", 55 ,2, 2018 , 2/4 ,/butai-kaune-senamiestyje-sv-gertrudos-g-parduodamas-prabangus-modernus-isskirtinio-1-3035809/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Algirdo g.",Žaliakalnis, Algirdo g.,204 000 ,"
                            4 rooms, 82,91 m², 3/4 floor, 2019 year, brick, central thermostat, fully equipped                        ", 82.91 ,4, 2019 , 3/4 ,/butai-kaune-zaliakalnyje-algirdo-g-pastatas-issiskiria-moderniu-ir-prabangiu-1-3032307/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žemieji Šančiai, A. Juozapavičiaus pr.",Žemieji Šančiai, A. Juozapavičiaus pr.,166 300 ,"
                            4 rooms, 83,15 m², 4/16 floor, 2021 year, monolithic, central thermostat, partial decoration                        ", 83.15 ,4, 2021 , 4/16 ,/butai-kaune-sanciuose-a-juozapaviciaus-pr-nt-technologiju-ir-kokybes-simbolis-1-3032573/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, Partizanų g.",Dainava, Partizanų g.,62 690 ,"
                            1 rooms, 33,36 m², 1/7 floor, 2020 year, brick, central, partial decoration                        ", 33.36 ,1, 2020 , 1/7 ,/butai-kaune-dainavoje-partizanu-g-klevu-namai-naujas-ekonomiskas-ir-saugus-1-3016559/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Žaliakalnis, Žemaičių g.",Žaliakalnis, Žemaičių g.,76 760 ,"
                            2 rooms, 52,14 m², 4/4 floor, 2020 year, brick, central thermostat, partial decoration                        ", 52.14 ,2, 2020 , 4/4 ,/butai-kaune-zaliakalnyje-zemaiciu-g-loftas-parduodamas-tiesiogiai-is-projekto-1-2969229/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Dainava, Partizanų g.",Dainava, Partizanų g.,109 710 ,"
                            4 rooms, 80 m², 4/7 floor, 2021 year, brick, central thermostat, partial decoration                        ", 80 ,4, 2021 , 4/7 ,/butai-kaune-dainavoje-partizanu-g-klevu-namai-naujas-ekonomiskas-ir-saugus-1-3016563/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Aukštieji Šančiai, Ratnyčios g.",Aukštieji Šančiai, Ratnyčios g.,48 000 ,"
                            1 rooms, 28,57 m², 6/9 floor, 1982 year, brick, central, fully equipped                        ", 28.57 ,1, 1982 , 6/9 ,/butai-kaune-aukstuosiuose-sanciuose-ratnycios-g-parduodamas-jaukus-ir-sviesus-pilnai-1-3033051/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
"Vilijampolė, A. Strazdo g.",Vilijampolė, A. Strazdo g.,149 999 ,"
                            3 rooms, 90 m², 4/4 floor, 2007 year, brick, gas, fully equipped                        ", 90 ,3, 2007 , 4/4 ,/butai-kaune-vilijampoleje-a-strazdo-g-parduodamas-erdvus-3-kambariu-butas-su-vaizdu-1-3037415/?return_url=%2Fbutai%2Fkaune%2Fpuslapis%2F2%2F%3Fobj%3D1%26FRegion%3D43%26FDistrict%3D6
