Pavadinimas,Rajonas,Gatve,Kaina,Dydis,Kambariai,Metai,Aukstas/is,Nuoroda
"Kauno m. sav., Kauno m., Kalniečiai, Šiaurės pr.", Kalniečiai, Šiaurės pr.,"79,500 ", 60.72,3,1979,1/9,https://www.capital.lt/lt/3-kambariu-butas-kalnieciuose-p222252
"Kauno m. sav., Kauno m., Vilijampolė, Radvilų Dvaro g.", Vilijampolė, Radvilų Dvaro g.,"67,000 ", 70.7,2,1970,1/1,https://www.capital.lt/lt/parduodamas-butas-radvilu-dvaro-g-1-vilijampoleje-kaune-7070-kvm-ploto-2-kambariai-p222244
"Kauno m. sav., Kauno m., Centras, Maironio g.", Centras, Maironio g.,"224,000 ", 127.78,5,1932,3/6,https://www.capital.lt/lt/parduodamas-butas-maironio-g-13-centre-kaune-12778-kvm-ploto-5-kambariai-p222220
"Kauno m. sav., Kauno m., Žaliakalnis, Č. Sasnausko g.", Žaliakalnis, Č. Sasnausko g.,"74,000 ", 50.74,1,2021,1/6,https://www.capital.lt/lt/parduodamas-butas-c-sasnausko-g-23-zaliakalnyje-kaune-5074-kvm-ploto-1-kambariai-p221854
"Kauno m. sav., Kauno m., Centras, S. Hariso g.", Centras, S. Hariso g.,"360,000 ", 183.63,5,2018,1/2,https://www.capital.lt/lt/parduodamas-butas-s-hariso-g-kaune-su-stogo-terasa-ir-vaizdu-i-senamiesti-18363-kvm-5-kambariai-p221815
"Kauno m. sav., Kauno m., Aukštieji Šančiai, Ašmenos 1-oji g.", Aukštieji Šančiai, Ašmenos 1-oji g.,"111,000 ", 50.42,3,2007,8/8,https://www.capital.lt/lt/parduodamas-butas-asmenos-1-oji-g-1-aukstuosiuose-sanciuose-kaune-5042-kvm-ploto-3-kambariai-p221772
"Kauno m. sav., Kauno m., Šilainiai, Naujakurių g.", Šilainiai, Naujakurių g.,"74,900 ", 54.95,3,2021,2/9,https://www.capital.lt/lt/parduodamas-butas-naujakuriu-g-silainiuose-kaune-5495-kvm-ploto-3-kambariai-p221762
"Kauno m. sav., Kauno m., Šilainiai, Naujakurių g.", Šilainiai, Naujakurių g.,"64,900 ", 38.58,2,2021,4/9,https://www.capital.lt/lt/parduodamas-butas-naujakuriu-g-silainiuose-kaune-3858-kvm-ploto-2-kambariai-p221761
"Kauno m. sav., Kauno m., Šilainiai, Naujakurių g.", Šilainiai, Naujakurių g.,"128,900 ", 93.56,5,2021,8/9,https://www.capital.lt/lt/parduodamas-butas-naujakuriu-g-silainiuose-kaune-9356-kvm-ploto-5-kambariai-p221718
"Kauno m. sav., Kauno m., Žemieji Šančiai, A. Juozapavičiaus pr.", Žemieji Šančiai, A. Juozapavičiaus pr.,"199,900 ", 139.22,4,1917,1/3,https://www.capital.lt/lt/parduodamas-butas-a-juozapaviciaus-pr-21a-kaune-13922-kvm-ploto-4-kambariai-p221623
"Kauno m. sav., Kauno m., Dainava, Pramonės pr.", Dainava, Pramonės pr.,"49,500 ", 44.16,2,1970,5/5,https://www.capital.lt/lt/parduodamas-butas-pramones-pr-47-dainavoje-kaune-4416-kvm-ploto-2-kambariai-p221109
"Kauno m. sav., Kauno m., Petrašiūnai, T. Masiulio g.", Petrašiūnai, T. Masiulio g.,"34,000 ", 36.66,2,1985,4/6,https://www.capital.lt/lt/parduodamas-butas-t-masiulio-g-petrasiunuose-kaune-3666-kvm-ploto-2-kambariai-p221079
"Kauno m. sav., Kauno m., Vilijampolė, Jūžintų g.", Vilijampolė, Jūžintų g.,"77,400 ", 70.0,3,1958,2/2,https://www.capital.lt/lt/parduodamas-3-kamb-butas-juzintu-g-vilijampoleje-kaune-p221065
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"69,900 ", 57.41,3,2020,3/3,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-62-dainavoje-kaune-5741-kvm-ploto-3-kambariai-p220433
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"84,999 ", 66.61,3,2020,2/3,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-62-dainavoje-kaune-6661-kvm-ploto-3-kambariai-p220392
"Kauno m. sav., Kauno m., Dainava, Partizanų g.", Dainava, Partizanų g.,"89,900 ", 73.5,3,2020,2/3,https://www.capital.lt/lt/parduodamas-butas-partizanu-g-62-dainavoje-kaune-7350-kvm-ploto-3-kambariai-p220277
"Kauno m. sav., Kauno m., Žemieji Šančiai, Vokiečių g.", Žemieji Šančiai, Vokiečių g.,"178,724 ", 63.83,3,2020,2/7,https://www.capital.lt/lt/butas-su-vaizdu-i-upe-vokieciu-g-166-kaune-6383-kvm-ploto-3-kambariai-p219445
"Kauno m. sav., Kauno m., Žemieji Šančiai, Vokiečių g.", Žemieji Šančiai, Vokiečių g.,"182,932 ", 63.72,3,2020,1/7,https://www.capital.lt/lt/parduodamas-butas-vokieciu-g-166-kaune-6383-kvm-ploto-3-kambariai-p219443
"Kauno m. sav., Kauno m., Žemieji Šančiai, Vokiečių g.", Žemieji Šančiai, Vokiečių g.,"75,042 ", 41.69,2,2021,1/4,https://www.capital.lt/lt/2-kambariu-butas-vokieciu-g4169-kv-m-p219436
"Kauno m. sav., Kauno m., Žemieji Šančiai, Vokiečių g.", Žemieji Šančiai, Vokiečių g.,"76,734 ", 42.63,2,2021,2/4,https://www.capital.lt/lt/2-kambariu-butas-vokieciu-g-4263-kv-m-p219428
"Kauno m. sav., Kauno m., Vilijampolė, Varnių g.", Vilijampolė, Varnių g.,"55,000 ", 57.69,3,1964,2/5,https://www.capital.lt/lt/parduodamas-butas-varniu-g-44-vilijampoleje-kaune-5769-kvm-ploto-3-kambariai-p219332
"Kauno m. sav., Kauno m., Žaliakalnis, Radvilėnų pl.", Žaliakalnis, Radvilėnų pl.,"89,000 ", 50.0,2,2020,2/9,https://www.capital.lt/lt/parduodamas-butas-radvilenu-pl-3c-zaliakalnyje-kaune-5000-kvm-ploto-2-kambariai-p219309
"Kauno m. sav., Kauno m., Vilijampolė, A. Strazdo g.", Vilijampolė, A. Strazdo g.,"149,999 ", 90.0,3,2007,4/4,https://www.capital.lt/lt/parduodamas-butas-a-strazdo-g-83-vilijampoleje-kaune-9000-kvm-ploto-3-kambariai-p219009
"Kauno m. sav., Kauno m., Žemieji Šančiai, Vokiečių g.", Žemieji Šančiai, Vokiečių g.,"135,360 ", 60.16,3,2021,1/4,https://www.capital.lt/lt/butas-vokieciu-g6016-kv-m-p218678
